Town,Latitude,Longitude,Distance
Fairmont,34.4968311,-79.114202,109.83332764241536
Vanceboro,35.3084953,-77.1541195,109.93865669943852
Richlands,34.8993298,-77.5466343,110.15344112162973
Trenton,35.0636588,-77.3534758,110.21714460405023
Clarkton,34.4873922,-78.6561257,110.2364646872102
Winton,36.3957098,-76.9319035,110.29149847112777
Laurel Park,35.4067274,-80.65240472148403,110.48642994107796
Proctorville,34.4766061,-79.0363154,110.74918886326608
Cofield,36.3565436,-76.9099577,111.01934808724886
Jonesville,36.2393013,-80.8445152,111.13714823815845
Orrum,34.4658861,-79.0090289,111.36349936152348
Watha,34.6404453,-77.9608196,111.47711971735583
Elkin,36.2440516,-80.8507344,111.5131069836249
Jamesville,35.8112719,-76.896616,111.97048709412844
Harrisburg,35.3258295,-80.6454979,112.63273169167624
Boardman,34.4390555,-78.949195,113.01849057365872
Marshville,34.988486,-80.3670085,113.0409063814452
Atkinson,34.5285008,-78.171107,113.76754773319284
Mooresville,35.5848596,-80.8100724,114.25248275196114
Unionville,35.0873694,-80.5089552,114.92360963978244
Statesville,35.7826363,-80.8872959,115.09570472016809
Troutman,35.7005832,-80.8882314,116.3349579433424
Ronda,36.218467,-80.9411859,116.402027458366
Wingate,34.9843176,-80.4492319,116.73330441624388
Harrellsville,36.3026868,-76.7924773,116.97650173292725
Colerain,36.201268,-76.7685616,117.6618909524252
Burgaw,34.5521113,-77.926098,117.80429114754504
Mint Hill,35.1735388,-80.6570377,118.46183611110789
Pollocksville,35.0059914,-77.2210654,118.54233907950037
Beaufort,35.469331,-76.8927522,118.56472189094973
Marietta,34.3690764,-79.1221944,118.62845944991886
Love Valley,35.9898553,-80.988132,118.94228132690448
Cornelius,35.481705,-80.8590006,119.20518497592172
River Bend,35.0690481,-77.146896,119.22443555408104
Plymouth,35.8668281,-76.7485555,119.60127721805544
Hemby Bridge,35.109955,-80.63993746711799,120.0553221325828
St. Helena,34.5177355,-77.91838104660317,120.12252410928966
Huntersville,35.4108278,-80.8429304,120.18530312778653
Whiteville,34.3387802,-78.7030721,120.1923185886141
Gatesville,36.4085245,-76.75316166000877,120.24666998308234
Lake Park,35.0859691,-80.6355536,120.78995180740834
East Arcadia,34.382113,-78.3233353,120.82433641213343
Chadbourn,34.3221129,-78.8269664,121.00438509292378
Cerro Gordo,34.3221121,-78.9264156,121.03022073677674
Monroe,34.9854275,-80.5495112,121.05663476785404
Stallings,35.1083615,-80.66355902160382,121.22496792829575
Trent Woods,35.0821039,-77.0863383,121.4949535140194
Sandyfield,34.3765573,-78.2969455,121.58220087563632
Fair Bluff,34.3134996,-79.0372544,121.95855099639736
New Bern,35.1084931,-77.0441143,122.4495642569733
Maysville,34.9048814,-77.2313436,122.61196537296269
Jacksonville,34.7494749,-77.4208221,122.62350557073808
Bath,35.4771094,-76.8116045,122.65296119500609
Indian Trail,35.0768141,-80.6692352,122.71707298226998
Lake Waccamaw,34.3190578,-78.5000088,122.95884928169612
Bridgeton,35.1215489,-77.02078,123.06180857251496
Matthews,35.1159532,-80.7224386,123.72008638426118
Bolton,34.3207243,-78.4019497,123.9038721010836
Columbus,34.2814497,-78.666593,124.3040542182116
Charlotte,35.2272086,-80.8430827,125.68872157157809
Wesley Chapel,35.0070935,-80.6745131,125.75682436438032
Edenton,36.057938,-76.6077213,126.46635428565403
Washington,35.8725573,-76.6215245,126.62161665376452
Roper,35.8779766,-76.6151847,126.92945949553184
North Wilkesboro,36.1584651,-81.1475841,127.70619940033365
Northwest,34.3129464,-78.1611077,128.00423459062287
Pantego,35.5890535,-76.6621569,128.2684692088705
Mineral Springs,34.9379274,-80.6686791,128.38552849594709
Wilkesboro,36.145965,-81.1606401,128.41122517311354
Aurora,35.3054322,-76.7886736,128.418053645075
Weddington,35.0223708,-80.7609035,129.12615821518258
Sparta,36.5055712,-81.1207497,129.22564258186054
Taylorsville,35.9219402,-81.1763421,129.82631666268074
Claremont,35.7145776,-81.1461917,130.28212861028936
Arlington,35.2693066,-80.9725736,130.88963080221305
Grantsboro,35.1406429,-76.84246,130.98645614921395
Belhaven,35.5401653,-76.6229874,131.3386530509861
Mount Holly,35.2976298,-81.0161686,132.2885707872495
Waxhaw,34.9248125,-80.7440174,132.31812997365276
Pineville,35.0855409,-80.8871253,132.73026700356246
Alliance,35.1448881,-76.8021556,132.8208783009213
Marvin,34.999286999999995,-80.82109985552725,132.8389922012059
Tabor City,34.1487804,-78.8766916,132.93168022320322
Surf City,34.46505775,-77.57412315290213,133.007023300161
Conover,35.7065004,-81.2184383,134.3730766990915
Catawba,35.6740563,-81.2107215,134.4188391195174
Bayboro,35.1429445,-76.7702093,134.4629078912665
Navassa,34.2554474,-78.0074906,134.67073829519538
Winfall,36.2190463,-76.46383,134.73219075296734
Stanley,35.3590256,-81.0970214,134.80115834198068
Belmont,35.2438272,-81.0377322,134.9713132043393
Newton,35.6630887,-81.2219363,135.20104123420754
Stonewall,35.1373893,-76.7477081,135.76214733143115
Arapahoe,35.0261537,-76.8255535,135.92384793657584
North Topsail Beach,34.4901665,-77.43163,136.1963456679248
Maiden,35.5766048,-81.2139216,136.21796158829318
Leland,34.2203056,-78.0335992,136.41765608369164
McAdenville,35.2593056,-81.0753535,136.434363408913
Peletier,34.730404,-77.0844229,136.89419299109517
Spencer Mountain,35.306903500000004,-81.11239437290715,136.99563391764224
Cramerton,35.2387504,-81.0750757,137.02615711998453
Topsail Beach,34.3651685,-77.6305293,137.18085780945245
Belville,34.22003155,-77.99384313753623,137.22992962469414
Swansboro,34.6896728,-77.1232174,137.25266616683516
Lowell,35.2679163,-81.1028542,137.59675469593176
Wilmington,34.2257282,-77.9447107,137.8919864910145
Havelock,34.8785,-76.9014457,138.24223800283943
Vandemere,35.1840563,-76.6635394,138.45263783498226
Ranlo,35.2862489,-81.130355,138.49665675319392
Minnesott Beach,34.9687716,-76.8116033,138.7622419433818
Mesic,35.2004454,-76.6438169,138.94118949422543
High Shoals,35.4026352,-81.2023016,139.25744023925282
Creswell,35.8697755,-76.39322567150396,139.36485214205334
Cedar Point,34.6876305,-77.0730745,139.39440346778449
Cape Carteret,34.6915509,-77.0630033,139.62121003056146
Dallas,35.3160401,-81.1764865,140.0812646159941
Bogue,34.6993286,-77.0368913,140.33294168055184
Lincolnton,35.473745,-81.2545251,140.44226019694003
Hickory,35.7333312,-81.3442915,140.96489332515773
Gaston,35.2849659,-81.179014,141.05174929394929
Brookford,35.7031879,-81.3478641,141.55200978593749
Emerald Isle,34.6653135,-77.0382187,141.8914314647131
Gastonia,35.2622654,-81.1838186,141.9299203515256
Oriental,35.0312553,-76.6926676,142.13175478514017
Wrightsville Beach,34.2079917,-77.7955907,142.41231178163488
Long View,35.7218779,-81.38553835728578,143.3886671170759
Brunswick,34.0718195,-78.1914215,143.43623874837826
Newport,34.7865497,-76.8591057,144.04128710239735
Bolivia,34.0676715,-78.1483283,144.3816199015793
Granite Falls,35.7965205,-81.4306458,145.04034163079052
Rhodhiss,35.767472999999995,-81.4318466318295,145.4135205674262
Hildebran,35.7140208,-81.4220334,145.50522506194187
Bessemer City,35.284733,-81.283906,146.5152176222162
Indian Beach,34.6865508,-76.8952181,146.90001047969616
Columbia,35.9176633,-76.2521521,146.90319133190334
Sawmills,35.8245638,-81.4741107,147.1890522508363
Jefferson,36.420403,-81.4734376,147.47930773616426
Shallotte,33.9732275,-78.3858371,147.57289602652128
Boiling Spring Lakes,34.0313504,-78.0672677,148.12809565445494
Hudson,35.8484645,-81.4959267,148.19712434269027
West Jefferson,36.4037364,-81.4928829,148.3878784186987
Elizabeth City,36.2956836,-76.2247697,148.43848897364444
Cherryville,35.3787442,-81.3789739,149.19732728847418
Connelly Springs,35.7399645,-81.5029788,149.66820847466693
Pine Knoll Shores,34.6973838,-76.8132697,149.9550596554585
Lansing,36.4993936,-81.5109852,150.4342835269842
Kings Mountain,35.2450607,-81.3410516,150.55481882041104
Cajah's Mountain,35.847194,-81.53906535274834,150.61176893147024
Rutherford College,35.7501398,-81.5247859,150.76064554259048
Carolina Shores,33.9010054,-78.5805673,150.88486846354314
Carolina Beach,34.0351727,-77.8935966,151.18428763598325
Calabash,33.8907278,-78.5683446,151.6650955639894
Varnamtown,33.9357283,-78.2486091,151.7222583770336
Waco,35.36172,-81.428486,152.2248451570417
Ocean Isle Beach,33.8943393,-78.426672,152.5257293725037
Holden Beach,33.9135061,-78.3038892,152.52678846262393
Morehead City,34.7229391,-76.7260436,152.6952365692137
Sunset Beach,33.880728,-78.512231,152.73677919882945
Valdese,35.7431562,-81.5633738,152.97896895206634
Atlantic Beach,34.6990505,-76.7402108,153.0934112051308
Kure Beach,33.9968399,-77.9072081,153.37633909114706
Gamewell,35.8692971,-81.5962082,153.62625542487763
St. James,33.9293402,-78.1163822,154.0521157715992
Camden,36.3106247,-76.1150606,154.62873158590642
Fallston,35.4284117,-81.5014757,154.66273038144246
Belwood,35.477076,-81.523424,154.87086361767933
Drexel,35.7579081,-81.6042614,155.08470816691698
Southport,33.921563,-78.0202677,156.15702772526072
Oak Island,33.9046184,-78.0827699,156.2241712159366
Boone,36.2165362,-81.6746158,157.29959831032167
Caswell Beach,33.8960076,-78.051102,157.3128410402695
Blowing Rock,36.1350245,-81.6777907,157.31508275216126
Grover,35.1745756,-81.4498097,158.13609124023907
Lawndale,35.4140187,-81.5631474,158.28013615490494
Casar,35.5123517,-81.6173159,159.315431078189
Shelby,35.2923513,-81.5356463,159.55494853649049
Morganton,35.7454291,-81.6870837,159.8166338828742
