Town,Latitude,Longitude,Distance,Manhattan_Distance
Weddington,35.0223708,-80.7609035,129.1261582,2.9487232
Sparta,36.5055712,-81.1207497,129.2256426,2.6823476
Taylorsville,35.9219402,-81.1763421,129.8263167,2.4645924
Claremont,35.7145776,-81.1461917,130.2821286,2.6418046
Arlington,35.2693066,-80.9725736,130.8896308,2.9134575
Grantsboro,35.1406429,-76.84246,130.9864561,2.9608704
Belhaven,35.5401653,-76.6229874,131.3386531,2.7808206
Mount Holly,35.2976298,-81.0161686,132.2885708,2.9287293
Waxhaw,34.9248125,-80.7440174,132.31813,3.0293954
Pineville,35.0855409,-80.8871253,132.730267,3.0117749
Alliance,35.1448881,-76.8021556,132.8208783,2.9969296
Marvin,34.999287,-80.82109986,132.8389922,3.032003356
Tabor City,34.1487804,-78.8766916,132.9316802,1.9381017
Surf City,34.46505775,-77.57412315,133.0070233,2.904792397
Conover,35.7065004,-81.2184383,134.3730767,2.7221284
Catawba,35.6740563,-81.2107215,134.4188391,2.7468557
Bayboro,35.1429445,-76.7702093,134.4629079,3.0308195
Navassa,34.2554474,-78.0074906,134.6707383,2.6810353
Winfall,36.2190463,-76.46383,134.7321908,2.5450258
Stanley,35.3590256,-81.0970214,134.8011583,2.9481863
Belmont,35.2438272,-81.0377322,134.9713132,3.0040955
Newton,35.6630887,-81.2219363,135.2010412,2.7690381
Stonewall,35.1373893,-76.7477081,135.7621473,3.0588759
Arapahoe,35.0261537,-76.8255535,135.9238479,3.0922661
North Topsail Beach,34.4901665,-77.43163,136.1963457,3.0221768
Maiden,35.5766048,-81.2139216,136.2179616,2.8475073
Leland,34.2203056,-78.0335992,136.4176561,2.6900685
McAdenville,35.2593056,-81.0753535,136.4343634,3.0262384
Peletier,34.730404,-77.0844229,136.894193,3.1291464
Spencer Mountain,35.3069035,-81.11239437,136.9956339,3.015681373
Cramerton,35.2387504,-81.0750757,137.0261571,3.0465158
Topsail Beach,34.3651685,-77.6305293,137.1808578,2.9482755
Belville,34.22003155,-77.99384314,137.2299296,2.730098612
Swansboro,34.6896728,-77.1232174,137.2526662,3.1310831
Lowell,35.2679163,-81.1028542,137.5967547,3.0451284
Wilmington,34.2257282,-77.9447107,137.8919865,2.7735344
Havelock,34.8785,-76.9014457,138.242238,3.1640276
Vandemere,35.1840563,-76.6635394,138.4526378,3.0963776
Ranlo,35.2862489,-81.130355,138.4966568,3.0542966
Minnesott Beach,34.9687716,-76.8116033,138.7622419,3.1635984
Mesic,35.2004454,-76.6438169,138.9411895,3.099711
High Shoals,35.4026352,-81.2023016,139.2574402,3.0098569
Creswell,35.8697755,-76.39322567,139.3648521,2.680972128
Cedar Point,34.6876305,-77.0730745,139.3944035,3.1832683
Cape Carteret,34.6915509,-77.0630033,139.62121,3.1894191
Dallas,35.3160401,-81.1764865,140.0812646,3.0706369
Bogue,34.6993286,-77.0368913,140.3329417,3.2077534
Lincolnton,35.473745,-81.2545251,140.4422602,2.9909706
Hickory,35.7333312,-81.3442915,140.9648933,2.8211508
Gaston,35.2849659,-81.179014,141.0517493,3.1042386
Brookford,35.7031879,-81.3478641,141.5520098,2.8548667
Emerald Isle,34.6653135,-77.0382187,141.8914315,3.2404411
Gastonia,35.2622654,-81.1838186,141.9299204,3.1317437
Oriental,35.0312553,-76.6926676,142.1317548,3.2200504
Wrightsville Beach,34.2079917,-77.7955907,142.4123118,2.9403909
Long View,35.7218779,-81.38553836,143.3886671,2.873850957
Brunswick,34.0718195,-78.1914215,143.4362387,2.6807323
Newport,34.7865497,-76.8591057,144.0412871,3.2983179
Bolivia,34.0676715,-78.1483283,144.3816199,2.7279735
Granite Falls,35.7965205,-81.4306458,145.0403416,2.8443158
Rhodhiss,35.767473,-81.43184663,145.4135206,2.874564132
Hildebran,35.7140208,-81.4220334,145.5052251,2.9182031
Bessemer City,35.284733,-81.283906,146.5152176,3.2093635
Indian Beach,34.6865508,-76.8952181,146.9000105,3.3622044
Columbia,35.9176633,-76.2521521,146.9031913,2.7741579
Sawmills,35.8245638,-81.4741107,147.1890523,2.8597374
Jefferson,36.420403,-81.4734376,147.4793077,2.9498673
Shallotte,33.9732275,-78.3858371,147.572896,2.5849087
Boiling Spring Lakes,34.0313504,-78.0672677,148.1280957,2.8453552
Hudson,35.8484645,-81.4959267,148.1971243,2.8576527
West Jefferson,36.4037364,-81.4928829,148.3878784,2.952646
Elizabeth City,36.2956836,-76.2247697,148.438489,2.8607234
Cherryville,35.3787442,-81.3789739,149.1973273,3.2104202
Connelly Springs,35.7399645,-81.5029788,149.6682085,2.9732048
Pine Knoll Shores,34.6973838,-76.8132697,149.9550597,3.4333198
Lansing,36.4993936,-81.5109852,150.4342835,3.0664055
Kings Mountain,35.2450607,-81.3410516,150.5548188,3.3061814
Cajah's Mountain,35.847194,-81.53906535,150.6117689,2.902061853
Rutherford College,35.7501398,-81.5247859,150.7606455,2.9848366
Carolina Shores,33.9010054,-78.5805673,150.8848685,2.4624006
Carolina Beach,34.0351727,-77.8935966,151.1842876,3.015204
Calabash,33.8907278,-78.5683446,151.6650956,2.4849009
